case_id,T_K,P_atm,phi,status,cj_speed_m_s,t_end_s,n_profile_points,x_max_m,profile_file,runtime_s,error_message
152,342.8571428571429,0.2,1.0,ok,1931.3954906358772,5e-05,617,0.04222222821214283,znd_tp_profiles/znd_T0342.86_P00.20.npz,0.816334959003143,
153,342.8571428571429,0.30000000000000004,1.0,ok,1941.5389816131765,5e-05,641,0.045596854254395865,znd_tp_profiles/znd_T0342.86_P00.30.npz,0.8536877500009723,
154,342.8571428571429,0.4,1.0,ok,1948.5725156363424,5e-05,653,0.04720860653482676,znd_tp_profiles/znd_T0342.86_P00.40.npz,0.8709014170017326,
155,342.8571428571429,0.5,1.0,ok,1953.9273736454084,5e-05,662,0.04810922839662581,znd_tp_profiles/znd_T0342.86_P00.50.npz,0.8586674160032999,
156,342.8571428571429,0.6,1.0,ok,1958.2337103926254,5e-05,669,0.048682952234671714,znd_tp_profiles/znd_T0342.86_P00.60.npz,0.8354818329971749,
157,342.8571428571429,0.7000000000000001,1.0,ok,1961.8243717217476,5e-05,672,0.049083250631639486,znd_tp_profiles/znd_T0342.86_P00.70.npz,0.8655985840014182,
158,342.8571428571429,0.8,1.0,ok,1964.8962961650311,5e-05,681,0.049380863777049935,znd_tp_profiles/znd_T0342.86_P00.80.npz,0.8864709589979611,
159,342.8571428571429,0.9,1.0,ok,1967.5755279072723,5e-05,684,0.04961265388192618,znd_tp_profiles/znd_T0342.86_P00.90.npz,0.8292350829942734,
160,342.8571428571429,1.0,1.0,ok,1969.9475152838193,5e-05,699,0.049799632951536894,znd_tp_profiles/znd_T0342.86_P01.00.npz,0.8676196250016801,
161,342.8571428571429,1.1,1.0,ok,1972.0727716948911,5e-05,740,0.04995464372012575,znd_tp_profiles/znd_T0342.86_P01.10.npz,0.9157563750050031,
162,342.8571428571429,1.2000000000000002,1.0,ok,1973.995751714142,5e-05,741,0.050085974928471874,znd_tp_profiles/znd_T0342.86_P01.20.npz,0.9670848750029108,
163,342.8571428571429,1.3000000000000003,1.0,ok,1975.7499604578397,5e-05,782,0.05019922621182269,znd_tp_profiles/znd_T0342.86_P01.30.npz,0.8605383329995675,
164,342.8571428571429,1.4000000000000001,1.0,ok,1977.3613764390807,5e-05,763,0.0502983247099155,znd_tp_profiles/znd_T0342.86_P01.40.npz,0.8547209999960614,
165,342.8571428571429,1.5000000000000002,1.0,ok,1978.8504658380436,5e-05,731,0.05038607410417175,znd_tp_profiles/znd_T0342.86_P01.50.npz,0.8861154999976861,
166,342.8571428571429,1.6,1.0,ok,1980.2335451937017,5e-05,799,0.05046460580159212,znd_tp_profiles/znd_T0342.86_P01.60.npz,0.962608083995292,
167,342.8571428571429,1.7000000000000002,1.0,ok,1981.5239942868654,5e-05,896,0.05053548725671148,znd_tp_profiles/znd_T0342.86_P01.70.npz,0.8907987080019666,
