T1_K,P1_atm,cj_speed_m_s,x10_T_m,x50_T_m,x90_T_m,ho2_peak,ho2_peak_x_m,source_file
928.571428571,1.0,1899.9442903906331,0.00024041311231754985,0.0005432447409486167,0.00308695515003098,0.00017805087127396226,0.0001945842977709213,znd_T0928.57_P01.00.npz
928.571428571,1.1,1903.0590921525798,0.000214886038110806,0.0004700907572630844,0.0026258949404916027,0.00019445996742222104,0.0001748043202162139,znd_T0928.57_P01.10.npz
928.571428571,1.2,1905.8863739686365,0.00019400880300353944,0.0004125378692389284,0.0022661750659821295,0.0002107300313651519,0.00015851776467543807,znd_T0928.57_P01.20.npz
928.571428571,1.3,1908.4851310243457,0.00017663403383819215,0.00036617057757857104,0.001979226548813241,0.0002268588404103967,0.00014395188367447758,znd_T0928.57_P01.30.npz
928.571428571,1.4,1910.878094330201,0.0001619660089444967,0.0003282401540995855,0.0017475836994497317,0.00024286759396453055,0.00013240288362148186,znd_T0928.57_P01.40.npz
928.571428571,1.5,1913.0978149063246,0.00014943027491306834,0.00029671116314959335,0.001555956793791361,0.00025876405133532117,0.00012255707864019657,znd_T0928.57_P01.50.npz
928.571428571,1.6,1915.1670208008143,0.00013860445520647472,0.00027020959490371964,0.0013959321456647946,0.000274561363879999,0.00011416892290794578,znd_T0928.57_P01.60.npz
928.571428571,1.7,1917.1042017072334,0.00012916362240174788,0.00024760410250622287,0.0012612288661154397,0.00029026716064626694,0.00010719949970067797,znd_T0928.57_P01.70.npz
928.571428571,1.8,1918.9248990143233,0.00012086659542710915,0.00022818633977003924,0.0011466261632951248,0.0003058539420878744,0.00010046665521199471,znd_T0928.57_P01.80.npz
928.571428571,1.9,1920.6417425563982,0.00011352225750616867,0.00021131008999885508,0.0010477953123010563,0.00032134978691638244,9.48619617039048e-05,znd_T0928.57_P01.90.npz
928.571428571,2.0,1922.265655728421,0.00010697495214023496,0.0001965702727830375,0.0009620502369430378,0.00033675189269144934,8.965530500390998e-05,znd_T0928.57_P02.00.npz
928.571428571,2.1,1923.8058565311385,0.00010110772583912797,0.00018357682712871366,0.0008872039555778358,0.00035205018871598177,8.443701111201569e-05,znd_T0928.57_P02.10.npz
928.571428571,2.2,1925.2702898780972,9.582004108943189e-05,0.0001720506012912789,0.000821317854919856,0.00036728620470268696,8.024154141935701e-05,znd_T0928.57_P02.20.npz
928.571428571,2.3,1926.6658125349768,9.103542492174646e-05,0.00016177406045625976,0.0007632221797121676,0.00038244132216535447,7.643894368139555e-05,znd_T0928.57_P02.30.npz
928.571428571,2.4,1927.9982510611244,8.668351142245444e-05,0.00015255843965320307,0.0007112208116908711,0.0003975177288636889,7.2976144386369e-05,znd_T0928.57_P02.40.npz
928.571428571,2.5,1929.2733542232575,8.27074963977891e-05,0.00014427315454107012,0.0006650223228066013,0.00041248828802485584,7.0279902892861e-05,znd_T0928.57_P02.50.npz
928.571428571,2.6,1930.490901689316,7.90643262743452e-05,0.00013676781914875316,0.000623601191260966,0.0004274078770063715,6.73169810439114e-05,znd_T0928.57_P02.60.npz
928.571428571,2.7,1931.6681053441864,7.571721078677209e-05,0.00012994246339543777,0.0005859460301364934,0.00044225218116701647,6.458736335902234e-05,znd_T0928.57_P02.70.npz
928.571428571,2.8,1932.795649879048,7.262559930529597e-05,0.00012372597957581823,0.0005522799064303168,0.0004570418022960052,6.201263043579276e-05,znd_T0928.57_P02.80.npz
928.571428571,2.9,1933.8811197397513,6.976603736264852e-05,0.0001180256611448103,0.0005214749079352395,0.0004717494943111599,5.968111599563462e-05,znd_T0928.57_P02.90.npz
928.571428571,3.0,1934.9274162855972,6.711391944096652e-05,0.00011280648632900939,0.0004933752283691839,0.0004863899886511237,5.7516603167417714e-05,znd_T0928.57_P03.00.npz
928.571428571,3.1,1935.9371829222503,6.46480679857484e-05,0.00010798632604004341,0.00046770260717794005,0.00050096486714487,5.55018316326566e-05,znd_T0928.57_P03.10.npz
928.571428571,3.2,1936.9127431246523,6.235006259708992e-05,0.00010354563745748613,0.00044403061113833714,0.0005154756464005079,5.362185254327206e-05,znd_T0928.57_P03.20.npz
928.571428571,3.3,1937.8519791019587,6.020491264429836e-05,9.942574637160695e-05,0.00042233431937345293,0.0005299326527103155,5.184909796331128e-05,znd_T0928.57_P03.30.npz
928.571428571,3.4,1938.7697812428412,5.8194003815083434e-05,9.559780983658004e-05,0.0004025586676172674,0.0005443256252946877,5.0185704966577527e-05,znd_T0928.57_P03.40.npz
928.571428571,3.5,1939.6506815089572,5.630947416833844e-05,9.204902291025426e-05,0.00038406762896968307,0.0005586646239214523,4.862212861097467e-05,znd_T0928.57_P03.50.npz
928.571428571,3.6,1940.5135838124293,5.4537221861988806e-05,8.87300852095638e-05,0.00036685086312492255,0.0005729435914809092,4.714725312287467e-05,znd_T0928.57_P03.60.npz
928.571428571,3.7,1941.3469734025466,5.2871486927096967e-05,8.563043483524927e-05,0.0003510399604496529,0.0005871689885836047,4.57561735079095e-05,znd_T0928.57_P03.70.npz
928.571428571,3.8,1942.1566007500335,5.129808124395227e-05,8.272105850742072e-05,0.00033622203768783447,0.0006013399015768393,4.444172471057237e-05,znd_T0928.57_P03.80.npz
928.571428571,3.9,1942.9434243996477,4.9811803346687114e-05,8.000496813160253e-05,0.000322547895992606,0.0006154573062110989,4.3198172574772874e-05,znd_T0928.57_P03.90.npz
928.571428571,4.0,1943.7094815484984,4.840612602660701e-05,7.744628373755543e-05,0.0003095987345544182,0.0006295216250875693,4.202014884100712e-05,znd_T0928.57_P04.00.npz
928.571428571,4.1,1944.4549848005838,4.707498067190179e-05,7.503247022053074e-05,0.00029763998924112287,0.0006435359123648888,4.090002092454672e-05,znd_T0928.57_P04.10.npz
928.571428571,4.2,1945.181217152695,4.5812567234929574e-05,7.276436763384432e-05,0.0002863469262634373,0.0006574970509022238,3.9839533118858076e-05,znd_T0928.57_P04.20.npz
928.571428571,4.3,1945.8891217539467,4.461348018200351e-05,7.061592882974371e-05,0.0002758494812489644,0.0006714073646016653,3.883211251232689e-05,znd_T0928.57_P04.30.npz
928.571428571,4.4,1946.5795821165668,4.347401493275809e-05,6.859336097581735e-05,0.00026589045838710677,0.0006852682337650331,3.787312186814843e-05,znd_T0928.57_P04.40.npz
928.571428571,4.5,1947.2533346950793,4.239006685438683e-05,6.667253144966401e-05,0.0002565709789193206,0.0006990801241654427,3.695975110038328e-05,znd_T0928.57_P04.50.npz
928.571428571,4.6,1947.911194280369,4.1357237415560746e-05,6.485010506047862e-05,0.0002477218596778854,0.0007128437249403812,3.608894622369083e-05,znd_T0928.57_P04.60.npz
928.571428571,4.7,1948.5538459030918,4.037069775063253e-05,6.312514817026676e-05,0.00023937299621621985,0.0007265597631663382,3.525790755862291e-05,znd_T0928.57_P04.70.npz
928.571428571,4.8,1949.1819366490379,3.943131823947743e-05,6.14822896454304e-05,0.000231525291979242,0.0007402293444397123,3.446139817976442e-05,znd_T0928.57_P04.80.npz
928.571428571,4.9,1949.7961048503853,3.8532668419999244e-05,5.992420572890391e-05,0.0002240933204168676,0.0007538375232851504,3.3722407114782614e-05,znd_T0928.57_P04.90.npz
928.571428571,5.0,1950.396911864497,3.767054737628707e-05,5.84370808914782e-05,0.00021708942716301257,0.0007673986842754705,3.3014538518574595e-05,znd_T0928.57_P05.00.npz
942.857142857,0.1,1819.387876748923,0.003143498114557345,0.0096132312891991,0.023771857275124524,3.865657907309597e-05,0.0015620424842918506,znd_T0942.86_P00.10.npz
942.857142857,0.2,1843.5647550651972,0.0016082668760819898,0.0057573028733225295,0.02323552678650761,4.9735882666559964e-05,0.0007831566763345794,znd_T0942.86_P00.20.npz
942.857142857,0.3,1857.5664067109446,0.0010182798761571323,0.003579740682937819,0.019217393139295574,6.113117130383544e-05,0.0005429445566951232,znd_T0942.86_P00.30.npz
942.857142857,0.4,1867.41753839286,0.0007236870570568058,0.00235416805718418,0.014095752163524105,7.454485697553438e-05,0.000435734276388405,znd_T0942.86_P00.40.npz
942.857142857,0.5,1875.0031470076347,0.0005535278934547772,0.0016586038320337863,0.010155370398899643,9.050703283291458e-05,0.0004198159771476722,znd_T0942.86_P00.50.npz
942.857142857,0.6,1881.1609456866827,0.00044471610515934825,0.001240180092643209,0.007541085280731399,0.00010727943549621853,0.00034375573521693595,znd_T0942.86_P00.60.npz
942.857142857,0.7,1886.3333727290974,0.00036983437739242605,0.000970655437406225,0.005812490412580113,0.000123841269259884,0.0002889058002401328,znd_T0942.86_P00.70.npz
942.857142857,0.8,1890.7874134987167,0.00031543616797694463,0.0007864373565373625,0.00462910329910609,0.00014021047688072663,0.00024876873570127693,znd_T0942.86_P00.80.npz
942.857142857,0.9,1894.7050435864928,0.00027426771101158383,0.0006545671330190686,0.0037861584085366593,0.00015639739128622422,0.00021931747560625857,znd_T0942.86_P00.90.npz
942.857142857,1.0,1898.1890963926435,0.00024211479625860715,0.0005565606842070181,0.0031640794838140363,0.0001724404173566133,0.0001948416888853155,znd_T0942.86_P01.00.npz
942.857142857,1.1,1901.3269842026766,0.000216356884656189,0.00048129734403031844,0.00269128527373139,0.00018834101210201225,0.00017497686034062096,znd_T0942.86_P01.10.npz
942.857142857,1.2,1904.1798222683835,0.0001952947412493779,0.0004220088660061312,0.0023224654183452817,0.0002040996819994739,0.00015761853436949152,znd_T0942.86_P01.20.npz
942.857142857,1.3,1906.7893785218228,0.000177773784863134,0.0003743995897879484,0.0020278774347929724,0.00021973232119962358,0.00014398444906408143,znd_T0942.86_P01.30.npz
942.857142857,1.4,1909.205094176649,0.00016298120466019407,0.00033541379512304424,0.0017902864491316673,0.00023524892792603781,0.00013249257855852512,znd_T0942.86_P01.40.npz
942.857142857,1.5,1911.441870471557,0.00015034466767581466,0.00030304514823113776,0.0015940511795737556,0.00025067029335492877,0.00012288676832984224,znd_T0942.86_P01.50.npz
942.857142857,1.6,1913.5271004381766,0.00013943215295107562,0.0002758126468246781,0.0014300227723986318,0.0002659926111218832,0.00011486823832834112,znd_T0942.86_P01.60.npz
942.857142857,1.7,1915.47494451385,0.00012992204714963688,0.0002526247651680597,0.0012916339415444842,0.0002812000016845085,0.0001072091573525727,znd_T0942.86_P01.70.npz
942.857142857,1.8,1917.3143788704726,0.0001215575887052825,0.00023268604174449871,0.00117404109300647,0.00029631559326290783,0.00010084256909971109,znd_T0942.86_P01.80.npz
942.857142857,1.9,1919.0402606981877,0.00011415954161192466,0.0002153847897779042,0.0010728581708551587,0.00031134034262736453,9.48885489464697e-05,znd_T0942.86_P01.90.npz
942.857142857,2.0,1920.6770609035168,0.00010756299388590734,0.00020026713724456327,0.0009849520472687058,0.00032624502830037123,8.914088030080156e-05,znd_T0942.86_P02.00.npz
942.857142857,2.1,1922.2295595004084,0.00010165406205491154,0.0001869390817010064,0.0009082380144939182,0.0003411012653330762,8.448642830141741e-05,znd_T0942.86_P02.10.npz
942.857142857,2.2,1923.7102454173526,9.63227555486496e-05,0.00017514931315429442,0.000840481226019926,0.00035587673391829515,8.028652804168718e-05,znd_T0942.86_P02.20.npz
942.857142857,2.3,1925.1170289283634,9.150044537976542e-05,0.00016462891021477464,0.0007811180739403226,0.0003705760608199013,7.647967822597982e-05,znd_T0942.86_P02.30.npz
942.857142857,2.4,1926.460446242042,8.711820929118764e-05,0.00015520018308957823,0.0007278356714351704,0.0003852001974383043,7.301197218264157e-05,znd_T0942.86_P02.40.npz
942.857142857,2.5,1927.7457557775767,8.311641890707358e-05,0.00014670573919457695,0.0006803544235353284,0.0003997434017171556,7.029896765720223e-05,znd_T0942.86_P02.50.npz
942.857142857,2.6,1928.97761121561,7.94454206956053e-05,0.00013901983732400765,0.000637772588121724,0.0004142164677900809,6.733288314892759e-05,znd_T0942.86_P02.60.npz
942.857142857,2.7,1930.1600452929372,7.607325338753192e-05,0.00013205513756151102,0.0005995574421089308,0.0004286204037239601,6.460170439565362e-05,znd_T0942.86_P02.70.npz
942.857142857,2.8,1931.2924971569885,7.296450388643015e-05,0.00012568733124055162,0.0005646697654526346,0.00044296802053741944,6.203054221939223e-05,znd_T0942.86_P02.80.npz
942.857142857,2.9,1932.3914560548592,7.008740992225e-05,0.000119874168122505,0.0005333735809818087,0.0004572382271067797,5.969632112940788e-05,znd_T0942.86_P02.90.npz
942.857142857,3.0,1933.4464512450174,6.741575610120381e-05,0.00011452992691391151,0.0005045729859100705,0.0004714458112659132,5.7529881658813425e-05,znd_T0942.86_P03.00.npz
942.857142857,3.1,1934.4646326900822,6.493190118043676e-05,0.00010961412624192494,0.0004782903232418473,0.0004855907810995102,5.55130858755757e-05,znd_T0942.86_P03.10.npz
942.857142857,3.2,1935.4483797922658,6.262197421502393e-05,0.00010507333714980353,0.0004541475833234106,0.0004996822927316951,5.3605826295673424e-05,znd_T0942.86_P03.20.npz
942.857142857,3.3,1936.399878844614,6.0458959002276783e-05,0.00010086573659625584,0.00043197204809390676,0.0005137111618612412,5.1833301398395814e-05,znd_T0942.86_P03.30.npz
942.857142857,3.4,1937.3210982777161,5.843449735800196e-05,9.696357758148748e-05,0.00041143250317957476,0.0005276832352348962,5.0168930510186506e-05,znd_T0942.86_P03.40.npz
942.857142857,3.5,1938.2137880402747,5.653775959381237e-05,9.333567732033887e-05,0.00039251354642156933,0.0005416369222290856,4.8411830595497106e-05,znd_T0942.86_P03.50.npz
942.857142857,3.6,1939.0796611921232,5.475485750208976e-05,8.99510083450478e-05,0.00037499620820459685,0.0005554993677115704,4.694706636307742e-05,znd_T0942.86_P03.60.npz
942.857142857,3.7,1939.915649194156,5.3075191141886596e-05,8.678247646610229e-05,0.00035880714867910987,0.0005693096920578617,4.5567926486863885e-05,znd_T0942.86_P03.70.npz
942.857142857,3.8,1940.7367015949117,5.14903296848241e-05,8.382371906936215e-05,0.0003436400100658498,0.0005830631323865484,4.4265278837199977e-05,znd_T0942.86_P03.80.npz
942.857142857,3.9,1941.5305537233085,4.9994646272146146e-05,8.104753057871455e-05,0.0003295488644310536,0.000596766487185458,4.3034869649416676e-05,znd_T0942.86_P03.90.npz
942.857142857,4.0,1942.2984132197823,4.8582307109833715e-05,7.843752422264447e-05,0.0003163599502663583,0.0006104182041823901,4.1883832403464305e-05,znd_T0942.86_P04.00.npz
942.857142857,4.1,1943.0548515132264,4.724141017550395e-05,7.598245408159052e-05,0.0003041135565747794,0.0006240022728989149,4.061606902342037e-05,znd_T0942.86_P04.10.npz
942.857142857,4.2,1943.787371198003,4.597253118346023e-05,7.367061321748443e-05,0.0002926034908903526,0.0006375618658362578,3.959027034589701e-05,znd_T0942.86_P04.20.npz
942.857142857,4.3,1944.5014135524573,4.47681267427762e-05,7.148171752502491e-05,0.0002817431221827366,0.000651071905320436,3.8614879314034854e-05,znd_T0942.86_P04.30.npz
942.857142857,4.4,1945.1978530661577,4.362172304875914e-05,6.941660294283424e-05,0.00027160315089637133,0.000664533095214663,3.7686143100453055e-05,znd_T0942.86_P04.40.npz
942.857142857,4.5,1945.8774910666243,4.2528921646467766e-05,6.746468023688658e-05,0.00026199693629852267,0.0006779461825569277,3.680082875596876e-05,znd_T0942.86_P04.50.npz
942.857142857,4.6,1946.5411107260436,4.148809777994608e-05,6.560785236852793e-05,0.0002529778245735279,0.0006913118719275627,3.5955990348707044e-05,znd_T0942.86_P04.60.npz
942.857142857,4.7,1947.1893918323915,4.049571297810225e-05,6.384501770431133e-05,0.00024451409570092454,0.0007046308724445699,3.514894538746244e-05,znd_T0942.86_P04.70.npz
942.857142857,4.8,1947.818498772826,3.9549077121261834e-05,6.217690315987567e-05,0.00023637786406965753,0.0007179062879189434,3.43777399488458e-05,znd_T0942.86_P04.80.npz
942.857142857,4.9,1948.4380692008713,3.864412307872608e-05,6.058569858389306e-05,0.00022876956801531117,0.0007311339472505484,3.363910981885652e-05,znd_T0942.86_P04.90.npz
942.857142857,5.0,1949.048695473256,3.777818071484756e-05,5.9073595499983846e-05,0.0002215994385311945,0.0007443143416022552,3.293102495116247e-05,znd_T0942.86_P05.00.npz
957.142857143,0.1,1817.1082606338168,0.0031476975648681367,0.009740467740958336,0.023878769560978664,4.034070707311216e-05,0.0015579267707117803,znd_T0957.14_P00.10.npz
957.142857143,0.2,1841.433333263645,0.0016220233211421506,0.005887701598001608,0.023416030043868732,5.1179015327251166e-05,0.0007820478795431932,znd_T0957.14_P00.20.npz
957.142857143,0.3,1855.5247596887318,0.0010282843771223223,0.0036783733367157087,0.019510077837656015,6.180826836265324e-05,0.0005310335789724187,znd_T0957.14_P00.30.npz
957.142857143,0.4,1865.4410585657151,0.0007306048328283669,0.0024226786194071984,0.014396456752843215,7.387607486719332e-05,0.00041879059378606924,znd_T0957.14_P00.40.npz
957.142857143,0.5,1873.0780542618434,0.0005585128124262874,0.0017061089342921684,0.01039939628776218,8.78623520924096e-05,0.0003534317031633631,znd_T0957.14_P00.50.npz
957.142857143,0.6,1879.2783914060062,0.0004484927271261808,0.0012748562438213008,0.007728860911810872,0.00010393567279203054,0.0003421588065277611,znd_T0957.14_P00.60.npz
957.142857143,0.7,1884.4870179973434,0.00037281446518377985,0.000996895283109362,0.005958368401437031,0.0001199726284545436,0.0002891961556340227,znd_T0957.14_P00.70.npz
957.142857143,0.8,1888.9771872712279,0.00031786248888909097,0.0008071726978745604,0.004744798639555677,0.00013583019814866109,0.00024900018920729456,znd_T0957.14_P00.80.npz
957.142857143,0.9,1892.9186659336322,0.00027629653150433245,0.0006711933370825538,0.0038803368410524923,0.00015151146153702933,0.00021954849003351812,znd_T0957.14_P00.90.npz
957.142857143,1.0,1896.4281393626036,0.0002438427241848389,0.0005702160850022336,0.003242615294272504,0.0001670643414318326,0.0001945805641867095,znd_T0957.14_P01.00.npz
957.142857143,1.1,1899.5844608801322,0.00021785128830857173,0.0004927887804346874,0.002757383994985487,0.00018246814967315614,0.00017518292397026756,znd_T0957.14_P01.10.npz
