T1_K,P1_atm,phi,cj_speed_m_s,integration_speed_m_s,x_end_m,T_min_K,T_max_K,P_min_Pa,P_max_Pa,x_monotonic,finite_all,min_mass_fraction,max_species_sum_error,x10_T_m,x50_T_m,x90_T_m,T_start_K,T_end_K,delta_T_K
300.0,3.6,1.0,2000.8516094102297,2010.8558674572805,0.05111363849184809,1581.5806304425255,3093.9774385062597,6414494.369117166,10456117.51014848,True,True,0.0,1.5543122344752192e-15,0.00010350335908951522,0.00011788229019562501,0.00016482452494539989,1581.582081875141,3093.977438506249,1512.3953566311081
300.0,3.7,1.0,2001.3565552503726,2011.3633380266242,0.05113181649509588,1582.1878044011812,3095.842770400824,6595170.553376711,10752109.3123106,True,True,0.0,1.3322676295501878e-15,0.00010443211029473124,0.0001186143925084728,0.0001636666901293945,1582.1892437140207,3095.8427704008122,1513.6535266867916
300.0,3.8,1.0,2001.846215261547,2011.8554463378546,0.051149278406610404,1582.7767119350788,3097.6523653279833,6775901.48586433,11048229.849844368,True,True,0.0,8.881784197001252e-16,0.00010539724678027221,0.00011939615100152393,0.00016268526419779613,1582.7781394600795,3097.6523653279783,1514.8742258678988
300.0,3.9,1.0,2002.3214169581768,2012.3330240429675,0.051166086720983245,1583.348338394546,3099.4097182681217,6956687.4038444115,11344475.076928755,True,True,0.0,4.440892098500626e-16,0.00010638153335567802,0.00012021023264718308,0.00016185476896215145,1583.3497540927142,3099.4097182681126,1516.0599641753984
300.0,4.0,1.0,2002.7829343266942,2012.7968489983275,0.05118230974113774,1583.9036055030822,3101.117403970268,7137525.554868245,11640841.317731772,True,True,0.0,2.886579864025407e-15,0.00010737118518363625,0.00012104102459259509,0.00016116491328327213,1583.9050092281664,3101.117403970254,1517.2123947420878
300.0,4.1,1.0,2003.2314604773155,2013.2476177797018,0.05119802174611346,1584.4433384500337,3102.777104785061,7318409.14113178,11937324.777851785,True,True,0.0,1.9984014443252818e-15,0.0001083510821092372,0.0001218748818149044,0.00016057345428793882,1584.4447300971924,3102.777104785047,1518.3323746878546
300.0,4.2,1.0,2003.6677139169399,2013.6860524865244,0.05121322941787312,1584.968393778962,3104.3927741032257,7499347.448237936,12233922.832163025,True,True,0.0,6.328271240363392e-15,0.00010931251271966994,0.00012269913584839326,0.00016005326402966045,1584.9697733274,3104.3927741032176,1519.4230007758176
300.0,4.3,1.0,2004.0922287955793,2014.112689939557,0.05122801177576833,1585.4794069156114,3105.9658277642247,7680331.766360345,12530631.354290063,True,True,0.0,6.217248937900877e-15,0.0001102432533616558,0.00012350327938387095,0.0001596195164870795,1585.4807744199486,3105.965826631443,1520.4850522114946
300.0,4.4,1.0,2004.5056547168613,2014.5281829904454,0.05124239473729523,1585.9771529343448,3107.4982451082014,7861363.196441629,12827448.362041727,True,True,0.0,1.9984014443252818e-15,0.00011113624580961341,0.00012427854213298457,0.00015921233376335947,1585.9785085094868,3107.498245106515,1521.519736597028
300.0,4.5,1.0,2004.9084359214305,2014.9329781010374,0.051256435127680355,1586.4621603127503,3108.9916711319847,8042435.57428618,13124369.898630822,True,True,0.0,3.1086244689504383e-15,0.00011198659345375658,0.0001250191712996183,0.00015885997893763383,1586.4635041133786,3108.991671131978,1522.5281670185993
300.0,4.6,1.0,2005.3011634065706,2015.3276692236032,0.05127012389667785,1586.9351347908612,3110.4488559889755,8223557.242216749,13421394.542202096,True,True,0.0,3.9968028886505635e-15,0.00011279013943362743,0.0001257187230395542,0.00015851528233441417,1586.9364670010802,3110.4488556142214,1523.5123886131412
300.0,4.7,1.0,2005.6841763071861,2015.712597188722,0.05128353135129687,1587.396479318394,3111.8700894086705,8404715.606755618,13718518.053780979,True,True,0.0,4.6629367034256575e-15,0.00011354143523608121,0.00012637410186610565,0.00015819908893250514,1587.3978001378491,3111.870089332886,1524.4722891950369
300.0,4.8,1.0,2006.0580382031044,2016.0883283941198,0.05129664008980364,1587.846867626663,3113.2583478416254,8585920.840155061,14015739.80169343,True,True,0.0,2.6645352591003757e-15,0.00011423944815810838,0.00012698326517588773,0.00015788309673552778,1587.8481772680252,3113.2583471137477,1525.4101698457225
300.0,4.9,1.0,2006.4230398489308,2016.4551550481751,0.0513094979904663,1588.2866454068844,3114.6141303951435,8767163.870365044,14313055.894731482,True,True,0.0,7.549516567451064e-15,0.00011488352889894353,0.00012754330343434165,0.00015757506889429274,1588.287943920786,3114.614129182573,1526.326185261787
300.0,5.0,1.0,2006.7796128805885,2016.8135109449913,0.051322113794513124,1588.7163274529694,3115.9391231811333,8948446.48377941,14610464.756736862,True,True,0.0,9.992007221626409e-15,0.00011547148541071213,0.0001280529812160589,0.00015726047671007926,1588.717615711254,3115.9391173505805,1527.2215016393266
